2025-09-13 13:05:40 | INFO     | root                 | Logging system initialized
2025-09-13 13:27:21 | INFO     | src.core.market_data | MarketDataManager initialized
2025-09-13 13:27:21 | INFO     | src.core.session_state | SessionStateManager initialized
2025-09-13 13:27:21 | INFO     | src.core.spread_engine | SpreadEngine initialized: batch_interval=10ms, cooldown=0.1s, min_edge=1 ticks
2025-09-13 13:27:21 | INFO     | src.core.router      | Router initialized: entry=ioc_or_market, hedge=limit_or_mid, nxt_mid=True
2025-09-13 13:27:21 | INFO     | src.kiwoom.execution_gateway | ExecutionGateway initialized
2025-09-13 13:27:21 | INFO     | src.core.pair_manager | PairManager initialized: t_hedge=1000ms, max_concurrent=2, max_per_symbol=1
2025-09-13 13:27:21 | INFO     | src.core.market_data | Screen 101: 200 symbols
2025-09-13 13:27:21 | INFO     | src.core.market_data | Screen 102: 200 symbols
2025-09-13 13:27:21 | INFO     | src.core.market_data | Screen 103: 200 symbols
2025-09-13 13:27:21 | INFO     | src.core.market_data | Screen 104: 112 symbols
2025-09-13 13:27:21 | INFO     | src.core.market_data | Loaded 712 symbols across 4 screen shards
2025-09-13 13:27:21 | INFO     | src.core.market_data | Subscribed screen 101 with 200 symbols (200 KRX + 200 NXT)
2025-09-13 13:27:21 | INFO     | src.core.market_data | Subscribed screen 102 with 200 symbols (200 KRX + 200 NXT)
2025-09-13 13:27:22 | INFO     | src.core.market_data | Subscribed screen 103 with 200 symbols (200 KRX + 200 NXT)
2025-09-13 13:27:22 | INFO     | src.core.market_data | Subscribed screen 104 with 112 symbols (112 KRX + 112 NXT)
2025-09-13 13:27:22 | INFO     | src.core.market_data | Real-time subscriptions: 4/4 screens successful
2025-09-13 13:27:22 | ERROR    | __main__             | Failed to start application: 'MainWindow' object has no attribute 'update_session_state'
2025-09-13 13:36:12 | INFO     | root                 | Logging system initialized
2025-09-13 13:36:12 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:36:12 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:36:13 | INFO     | src.kiwoom.kiwoom_connector | Kiwoom OCX events connected
2025-09-13 13:36:13 | INFO     | src.kiwoom.kiwoom_connector | KiwoomConnector initialized
2025-09-13 13:36:13 | INFO     | src.kiwoom.kiwoom_connector | Initiating connection to Kiwoom server...
2025-09-13 13:36:15 | INFO     | src.kiwoom.kiwoom_connector | CommConnect() called successfully - login window should appear
2025-09-13 13:36:25 | ERROR    | src.kiwoom.kiwoom_connector | Kiwoom login failed or timed out
2025-09-13 13:36:25 | ERROR    | __main__             | Unable to login to Kiwoom API
